bond,sector,duration,convexity,var,expectedshortfall,issuer,rating,yield,spread,maturity_date,face_value,market_value
AAPL2025,Technology,2.1,8.5,850,1275,Apple Inc,AA+,3.2,45,2025-12-15,1000000,1020000
MSFT2027,Technology,3.8,15.2,920,1380,Microsoft Corp,AAA,2.8,35,2027-06-30,1500000,1535000
GOOGL2026,Technology,2.9,11.3,780,1170,Alphabet Inc,AA,3.1,42,2026-09-15,800000,815000
JPM2028,Finance,4.2,18.7,1100,1650,JPMorgan Chase,A+,4.1,85,2028-03-20,2000000,1980000
BAC2029,Finance,4.8,22.1,1250,1875,Bank of America,A,4.5,95,2029-11-10,1200000,1185000
WFC2026,Finance,3.5,14.8,980,1470,Wells Fargo,A-,4.2,88,2026-08-25,1000000,995000
JNJ2030,Healthcare,5.1,24.6,1050,1575,Johnson & Johnson,AAA,3.5,55,2030-04-12,1800000,1825000
PFE2027,Healthcare,3.7,16.4,890,1335,Pfizer Inc,A+,3.8,68,2027-10-05,1100000,1095000
UNH2029,Healthcare,4.6,20.9,1180,1770,UnitedHealth Group,AA-,3.9,72,2029-07-18,1600000,1615000
XOM2026,Energy,3.2,13.1,1320,1980,Exxon Mobil,A,4.8,125,2026-12-03,1400000,1375000
CVX2028,Energy,4.1,17.8,1280,1920,Chevron Corp,AA-,4.5,115,2028-05-22,1300000,1295000
COP2027,Energy,3.6,15.5,1150,1725,ConocoPhillips,A+,4.6,118,2027-01-30,900000,885000
KO2025,Consumer,2.3,9.2,680,1020,Coca-Cola Co,AA,2.9,38,2025-11-08,700000,705000
PG2029,Consumer,4.9,23.4,820,1230,Procter & Gamble,AA+,3.3,48,2029-02-14,1000000,1010000
WMT2026,Consumer,3.1,12.6,750,1125,Walmart Inc,AA,3.6,62,2026-06-12,1200000,1195000
DIS2028,Media,4.3,19.1,1050,1575,Walt Disney Co,A,4.3,98,2028-09-28,800000,790000
NFLX2027,Media,3.4,14.2,980,1470,Netflix Inc,A-,4.7,135,2027-03-15,600000,585000
T2030,Telecom,5.4,26.8,1380,2070,AT&T Inc,BBB+,5.2,185,2030-08-07,1500000,1465000
VZ2029,Telecom,4.7,21.5,1220,1830,Verizon Communications,A-,4.8,145,2029-12-20,1100000,1085000
TSLA2026,Automotive,3.3,13.7,1450,2175,Tesla Inc,B+,6.2,285,2026-04-18,500000,475000
